id,title,url,summary,pub_date,source,PESTEL_category,cleaned_summary,Sentiment
11,"Ademkan Rumah dengan AC Baru, Cuma Rp2,8 Jutaan di Transmart",https://www.cnnindonesia.com/ekonomi/20240705160719-97-1118052/ademkan-rumah-dengan-ac-baru-cuma-rp28-jutaan-di-transmart,"Ademkan rumah dengan membeli AC baru di Transmart Full Day Sale. Soalnya harga AC lagi diskon gede-gedean mulai dari Rp2,8 jutaan.",2024-07-07 09:00:25,CNN Ekonomi,Political,ademkan rumah membeli ac transmart full day sale harga ac diskon gedegedean rp jutaan,Positive
12,"Buruan ke Transmart, Sepeda Listrik Didiskon Jadi Rp3 Jutaan Aja",https://www.cnnindonesia.com/ekonomi/20240705153540-97-1118014/buruan-ke-transmart-sepeda-listrik-didiskon-jadi-rp3-jutaan-aja,"Transmart Full Day Sale kasih diskon gede-gedean untuk sepeda listrik hari ini, Minggu (7/7), jadi mulai Rp3 jutaan per unit.",2024-07-07 08:00:30,CNN Ekonomi,Political,transmart full day sale kasih diskon gedegedean sepeda listrik minggu rp jutaan unit,Positive
13,Pengunjung Mengaku Senang Belanja di Transmart Full Day Sale,https://www.cnnindonesia.com/ekonomi/20240707143941-97-1118534/pengunjung-mengaku-senang-belanja-di-transmart-full-day-sale,"Pengunjung Transmart Kota Kasablanka, Jakarta mengaku senang lantaran bisa memborong barang belanjaan dengan diskon besar di Transmart Full Day Sale.",2024-07-07 07:45:28,CNN Ekonomi,Political,pengunjung transmart kota kasablanka jakarta mengaku senang lantaran memborong barang belanjaan diskon transmart full day sale,Positive
14,"Hari Ini Aja, Beli Kulkas di Transmart Bisa Hemat Jutaan Rupiah",https://www.cnnindonesia.com/ekonomi/20240705154845-97-1118027/hari-ini-aja-beli-kulkas-di-transmart-bisa-hemat-jutaan-rupiah,"Hari ini adalah waktu yang tepat buat kamu beli kulkas di Transmart. Ada diskon besar-besaran yang bikin kamu hemat sampai Rp2,6 jutaan!",2024-07-07 07:00:35,CNN Ekonomi,Political,beli kulkas transmart diskon besarbesaran bikin hemat rp jutaan,Neutral
15,"Warga Serbu Transmart Full Day Sale, Borong Kebutuhan Harian",https://www.cnnindonesia.com/ekonomi/20240707132156-97-1118513/warga-serbu-transmart-full-day-sale-borong-kebutuhan-harian,"Masyarakat menyerbu Transmart Kota Kasablanka, Jakarta Selatan seiring digelarnya Transmart Full Day Sale, Minggu (7/7).",2024-07-07 06:35:56,CNN Ekonomi,Political,masyarakat menyerbu transmart kota kasablanka jakarta selatan seiring digelarnya transmart full day sale minggu,Positive
16,3 Pilar Bank DBS Indonesia Bangun Masa Depan Ekonomi Berkelanjutan,https://www.cnnindonesia.com/ekonomi/20240705160316-625-1118051/3-pilar-bank-dbs-indonesia-bangun-masa-depan-ekonomi-berkelanjutan,Bank DBS Indonesia telah merumuskan tiga pilar utama dalam kerangka bisnisnya untuk memerangi perubahan iklim dan mencapai pembangunan keberlanjutan.,2024-07-07 06:01:43,CNN Ekonomi,Legal,bank db indonesia merumuskan pilar utama kerangka bisnisnya memerangi perubahan iklim mencapai pembangunan keberlanjutan,Neutral
17,Minyak Goreng sampai Sabun Cuci Diskon hingga 20% di Transmart,https://www.cnnindonesia.com/ekonomi/20240705173856-97-1118096/minyak-goreng-sampai-sabun-cuci-diskon-hingga-20-di-transmart,Semua produk kebutuhan harian di Transmart Full Day Sale diskon gede-gedean bisa sampai 20 persen plus ada diskon tambahan 20 persen.,2024-07-07 06:00:00,CNN Ekonomi,Political,produk kebutuhan harian transmart full day sale diskon gedegedean persen plus diskon tambahan persen,Positive
18,"Hari Ini Diskon Gede, Transmart Jual Sepeda Cuma Rp600 Ribuan",https://www.cnnindonesia.com/ekonomi/20240705153810-97-1118016/hari-ini-diskon-gede-transmart-jual-sepeda-cuma-rp600-ribuan,"Aneka sepeda di Transmart Full Day Sale diskon besar dari harga normal Rp1,25 juta jadi tinggal Rp600 ribuan khusus Minggu (7/7).",2024-07-07 05:00:35,CNN Ekonomi,Political,aneka sepeda transmart full day sale diskon harga normal rp juta tinggal rp ribuan khusus minggu,Positive
19,"Pasti Cuan, LED TV 65 Inci di Transmart Diskon sampai Rp3,9 Juta",https://www.cnnindonesia.com/ekonomi/20240705153218-97-1118012/pasti-cuan-led-tv-65-inci-di-transmart-diskon-sampai-rp39-juta,Transmart Full Day Sale balik lagi dengan diskon gede! Beli LED TV ukuran besar berbagai merek ternama di Transmart hari ini pasti cuan.,2024-07-07 04:00:10,CNN Ekonomi,Political,transmart full day sale diskon gede beli led tv ukuran merek ternama transmart cuan,Positive
20,"Persiapan Kembali Sekolah, Sepatu Anak Lagi Banyak Diskon di Transmart",https://www.cnnindonesia.com/ekonomi/20240705172907-97-1118082/persiapan-kembali-sekolah-sepatu-anak-lagi-banyak-diskon-di-transmart,"Transmart Full Day Sale kasih diskon untuk produk sepatu anak, mulai dari sepatu sekolah hingga sepatu buat jalan-jalan. Cek daftarnya, Bun!",2024-07-07 03:00:40,CNN Ekonomi,Political,transmart full day sale kasih diskon produk sepatu anak sepatu sekolah sepatu jalanjalan cek daftarnya bun,Positive
21,"Mengenal Deflasi, Fenomena yang Menimpa Ekonomi RI Bulan Ini",https://www.cnnindonesia.com/ekonomi/20240707035813-96-1118411/mengenal-deflasi-fenomena-yang-menimpa-ekonomi-ri-bulan-ini,Indonesia mengalami deflasi secara bulanan (month to month/mtm) pada Mei dan Juni 2024.,2024-07-07 02:20:24,CNN Ekonomi,Environmental,indonesia mengalami deflasi bulanan month to monthmtm mei juni,Neutral
22,"Transmart Full Day Sale, Daging Ayam hingga Buah-buahan Diskon 20%",https://www.cnnindonesia.com/ekonomi/20240705161319-97-1118055/transmart-full-day-sale-daging-ayam-hingga-buah-buahan-diskon-20,"Aneka produk segar mulai dari buah-buahan, daging ayam, sampai makanan beku semua didiskon 20 persen di Transmart hari ini, Minggu (7/7).",2024-07-07 02:00:20,CNN Ekonomi,Political,aneka produk segar buahbuahan daging ayam makanan beku didiskon persen transmart minggu,Neutral
23,"Miriam Adelson, Ratu Judi Dunia Berharta Rp466 T yang Jadi Bohir Trump",https://www.cnnindonesia.com/ekonomi/20240706153410-92-1118331/miriam-adelson-ratu-judi-dunia-berharta-rp466-t-yang-jadi-bohir-trump,"Miriam Adelson adalah pebisnis kasino berharta Rp466 triliun. Bisnisnya tak cuma di AS, tapi merambah ke Singapura dan Makau, surga judi dunia.",2024-07-07 01:00:49,CNN Ekonomi,Legal,miriam adelson pebisnis kasino berharta rp triliun bisnisnya a merambah singapura makau surga judi dunia,Neutral
24,"Daftar Produk yang Diskon Transmart Full Day Sale, Dijamin Murah",https://www.cnnindonesia.com/ekonomi/20240705175258-97-1118104/daftar-produk-yang-diskon-transmart-full-day-sale-dijamin-murah,"Selama Transmart Full Day Sale berlangsung, ada beragam produk unggulan yang didiskon besar-besaran hingga 50% + 20%.",2024-07-07 01:00:30,CNN Ekonomi,Political,transmart full day sale beragam produk unggulan didiskon besarbesaran,Positive
25,Deret Aksi OJK ke Influencer Ahmad Rafif usai Gagal Kelola Dana Saham,https://www.cnnindonesia.com/ekonomi/20240707071456-92-1118427/deret-aksi-ojk-ke-influencer-ahmad-rafif-usai-gagal-kelola-dana-saham,Satgas PASTI OJK melancarkan sejumlah aksi untuk merespons influencer Ahmad Rafif Raya yang gagal mengelola dana saham publik senilai Rp71 miliar.,2024-07-07 00:21:23,CNN Ekonomi,Technological,satgas ojk melancarkan aksi merespons influencer ahmad rafif raya gagal mengelola dana saham publik senilai rp miliar,Neutral
26,"Belanja Hemat Merapat ke Transmart, Ada Diskon 50% + 20% Hari Ini",https://www.cnnindonesia.com/ekonomi/20240705110523-97-1117886/belanja-hemat-merapat-ke-transmart-ada-diskon-50-20-hari-ini,"Biar belanja tetap hemat, yuk ke Transmart Full Day Sale mumpung hari ini ada pesta diskon hingga 50% + 20% untuk beragam produk unggulan.",2024-07-07 00:00:20,CNN Ekonomi,Political,biar belanja hemat yuk transmart full day sale mumpung pesta diskon beragam produk unggulan,Positive
27,Sri Mulyani Blak-blakan soal Awal Mula Aset Rp110 T di Kasus BLBI,https://www.cnnindonesia.com/ekonomi/20240706205326-532-1118373/sri-mulyani-blak-blakan-soal-awal-mula-aset-rp110-t-di-kasus-blbi,Menteri Keuangan (Menkeu) Sri Mulyani mengungkap awal mula aset senilai Rp110 triliun dalam kasus Bantuan Likuiditas Bank Indonesia (BLBI).,2024-07-06 22:55:57,CNN Ekonomi,Economic,menteri keuangan menkeu sri mulyani mengungkap aset senilai rp triliun bantuan likuiditas bank indonesia blbi,Neutral
28,Pemerintah Masih Kaji Negara Sasaran dan Besaran BMAD-BMTP 7 Komoditas,https://www.cnnindonesia.com/ekonomi/20240706184133-92-1118364/pemerintah-masih-kaji-negara-sasaran-dan-besaran-bmad-bmtp-7-komoditas,Mendag Zulkifli Hasan menyebut KPPI dan KADI masih meninjau negara-negara yang mungkin dikenai bea masuk tambahan untuk tujuh komoditas.,2024-07-06 15:02:07,CNN Ekonomi,Legal,mendag zulkifli hasan menyebut kppi kadi meninjau negaranegara dikenai bea masuk tambahan tujuh komoditas,Neutral
29,"Berkembang Pesat, Industri Pernikahan Jadi Tambang Cuan di India",https://www.cnnindonesia.com/ekonomi/20240706203149-92-1118371/berkembang-pesat-industri-pernikahan-jadi-tambang-cuan-di-india,Industri pernikahan di India sedang berkembang pesat hingga mampu mendorong perekonomian negara.,2024-07-06 13:50:35,CNN Ekonomi,Economic,industri pernikahan india berkembang pesat mendorong perekonomian negara,Neutral
30,"Ada Diskon Besar-besaran di Transmart Besok, Mau?",https://www.cnnindonesia.com/ekonomi/20240705112430-97-1117892/ada-diskon-besar-besaran-di-transmart-besok-mau,"Belanja bulanan dengan diskon gede t entu bisa kalau di Transmart. Soalnya, Transmart Full Day Sale balik lagi besok, Minggu (7/7).",2024-07-06 13:30:00,CNN Ekonomi,Political,belanja bulanan diskon gede t entu transmart transmart full day sale besok minggu,Positive
31,Sederet Pernyataan Luhut soal Family Office,https://www.cnnindonesia.com/ekonomi/20240706070438-92-1118233/sederet-pernyataan-luhut-soal-family-office,"Menurut Luhut, keluarga kaya di luar negeri tertarik menyimpan uangnya di Indonesia sehingga perlu dibentuk family office.",2024-07-06 13:20:01,CNN Ekonomi,Environmental,luhut keluarga kaya negeri tertarik menyimpan uangnya indonesia dibentuk family office,Neutral
32,"Deretan Elektronik yang Diskon di Transmart Besok, Cek Daftarnya",https://www.cnnindonesia.com/ekonomi/20240705155826-97-1118048/deretan-elektronik-yang-diskon-di-transmart-besok-cek-daftarnya,"Produk elektronik berbagai merek ternama diskon gede di Transmart Full Day Sale, seperti AC, kulkas, dan LED TV. Cek daftar produknya!",2024-07-06 12:45:30,CNN Ekonomi,Political,produk elektronik merek ternama diskon gede transmart full day sale ac kulkas led tv cek daftar produknya,Positive
33,"Murah Nih, Mangga Harum Manis Diskon 20% di Transmart Full Day Sale",https://www.cnnindonesia.com/ekonomi/20240705161950-97-1118058/murah-nih-mangga-harum-manis-diskon-20-di-transmart-full-day-sale,Produk segar salah satunya buah mangga harum manis diskon 20 persen di Transmart Full Day Sale pada Minggu (7/7).,2024-07-06 12:00:00,CNN Ekonomi,Political,produk segar salah satunya buah mangga harum manis diskon persen transmart full day sale minggu,Positive
34,Pemprov DKI Kejar 30 Persen Warga Jakarta Pakai Transportasi Publik,https://www.cnnindonesia.com/ekonomi/20240704184506-92-1117720/pemprov-dki-kejar-30-persen-warga-jakarta-pakai-transportasi-publik,Pemerintah Provinsi (Pemprov) DKI Jakarta menargetkan penggunaan transportasi publik mencapai 30 persen pada 2030.,2024-07-06 11:45:05,CNN Ekonomi,Social,pemerintah provinsi pemprov dki jakarta menargetkan penggunaan transportasi publik mencapai persen,Neutral
35,"Sepeda Listrik Diskon di Transmart Besok, Harganya Cuma Segini",https://www.cnnindonesia.com/ekonomi/20240705152959-97-1118011/sepeda-listrik-diskon-di-transmart-besok-harganya-cuma-segini,"Transmart kasih diskon hingga 25% + 20% untuk sepeda listrik, dari harga normal Rp6.450.000 menjadi Rp3 jutaan per unit khusus Minggu (7/7).",2024-07-06 11:15:00,CNN Ekonomi,Political,transmart kasih diskon sepeda listrik harga normal rp rp jutaan unit khusus minggu,Positive
36,"Besok Transmart Full Day Sale, Pesta Diskon 50% + 20% se-Indonesia!",https://www.cnnindonesia.com/ekonomi/20240705104931-97-1117879/besok-transmart-full-day-sale-pesta-diskon-50-20-se-indonesia,Transmart Full Day Sale balik lagi Minggu (7/7) dengan diskon gede-gedean hingga 50% + 20% berlaku di seluruh gerai Transmart se-Indonesia.,2024-07-06 10:57:45,CNN Ekonomi,Political,transmart full day sale minggu diskon gedegedean berlaku gerai transmart seindonesia,Positive
37,OJK Ajukan Kasasi ke MA atas Putusan Gugatan Bos Kresna Life,https://www.cnnindonesia.com/ekonomi/20240706171307-78-1118355/ojk-ajukan-kasasi-ke-ma-atas-putusan-gugatan-bos-kresna-life,OJK mengajukan kasasi ke MA atas putusan PTUN Jakarta yang mengabulkan gugatan bos PT Asuransi Jiwa Kresna (Kresna Life) Michael Steven.,2024-07-06 10:20:29,CNN Ekonomi,Economic,ojk mengajukan kasasi ma putusan ptun jakarta mengabulkan gugatan bos pt asuransi jiwa kresna kresna life michael steven,Neutral
38,Bulog Bantah Isu Gelembungkan Harga Impor Beras,https://www.cnnindonesia.com/ekonomi/20240706133504-92-1118302/bulog-bantah-isu-gelembungkan-harga-impor-beras,Bulog membantah memggelembungkan harga beras impor seperti yang dituduhkan perusahaan distributor asal Vietnam.,2024-07-06 09:50:51,CNN Ekonomi,Social,bulog membantah memggelembungkan harga beras impor dituduhkan perusahaan distributor vietnam,Neutral
39,Bapenda DKI Dorong Wajib Pajak Update NIK untuk Bebas PBB-P2 2024,https://www.cnnindonesia.com/ekonomi/20240706154518-83-1118335/bapenda-dki-dorong-wajib-pajak-update-nik-untuk-bebas-pbb-p2-2024,Wajib pajak diharuskan melakukan pemutakhiran data NIK untuk mendapatkan pembebasan pokok PBB-P2 100% untuk hunian dengan NJOP sampai Rp2 miliar di tahun 2024.,2024-07-06 09:28:52,CNN Ekonomi,Technological,wajib pajak diharuskan pemutakhiran data nik pembebasan pokok pbbp hunian njop rp miliar,Neutral
40,Fakta-fakta Influencer Gagal Kelola Dana Saham Rp71 M,https://www.cnnindonesia.com/ekonomi/20240706090122-92-1118239/fakta-fakta-influencer-gagal-kelola-dana-saham-rp71-m,Berikut fakta-fakta influencer Ahmad Rafif Raya gagal kelola dana saham nasabah hingga Rp71 miliar lebih.,2024-07-06 09:10:30,CNN Ekonomi,Technological,faktafakta influencer ahmad rafif raya gagal kelola dana saham nasabah rp miliar,Neutral
41,OJK Minta Kominfo Blokir Medsos Influencer Ahmad Rafif,https://www.cnnindonesia.com/ekonomi/20240706151725-78-1118329/ojk-minta-kominfo-blokir-medsos-influencer-ahmad-rafif,Satgas PASTI OJK meminta Kominfo memblokir media sosial dan situs yang berkaitan dengan influencer Ahmad Rafif Raya dan PT Waktunya Beli Saham.,2024-07-06 08:23:45,CNN Ekonomi,Technological,satgas ojk kominfo memblokir medium sosial situs berkaitan influencer ahmad rafif raya pt beli saham,Neutral
42,Jokowi Berharap Bantaeng Bisa Jadi Pemasok Beras Hingga Sayur ke IKN,https://www.cnnindonesia.com/ekonomi/20240705170404-532-1118073/jokowi-berharap-bantaeng-bisa-jadi-pemasok-beras-hingga-sayur-ke-ikn,"Jokowi berharap Kabupaten Bantaeng, Sulawesi Selatan surplus panen padi hingga sayuran sehingga kelebihan itu bisa dibawa ke Ibu Kota Negara (IKN) Nusantara.",2024-07-06 08:10:23,CNN Ekonomi,Legal,jokowi berharap kabupaten bantaeng sulawesi selatan surplus panen padi sayuran kelebihan dibawa kota negara ikn nusantara,Neutral
43,Satgas PASTI: Perusahaan Influencer Ahmad Rafif Ilegal Himpun Dana,https://www.cnnindonesia.com/ekonomi/20240706143447-78-1118325/satgas-pasti-perusahaan-influencer-ahmad-rafif-ilegal-himpun-dana,Satgas PASTI OJK mengatakan bahwa influencer Ahmad Rafif Raya telah mengakui melakukan penghimpunan dana dan pengelolaan dana masyarakat tanpa izin.,2024-07-06 07:56:52,CNN Ekonomi,Technological,satgas ojk influencer ahmad rafif raya mengakui penghimpunan dana pengelolaan dana masyarakat izin,Neutral
44,M-Banking BSI Kembali Normal usai Peningkatan Kapasitas Layanan Sistem,https://www.cnnindonesia.com/ekonomi/20240706135858-78-1118315/m-banking-bsi-kembali-normal-usai-peningkatan-kapasitas-layanan-sistem,Bank Syariah Indonesia (BSI) mengumumkan layanan mobile banking (m-banking) kembali bisa digunakan pada Sabtu (6/7) siang.,2024-07-06 07:15:25,CNN Ekonomi,Environmental,bank syariah indonesia bsi mengumumkan layanan mobile banking mbanking sabtu siang,Neutral
45,OJK Cabut Izin Wakil Manajer Investasi Influencer Ahmad Rafif Raya,https://www.cnnindonesia.com/ekonomi/20240706135042-78-1118305/ojk-cabut-izin-wakil-manajer-investasi-influencer-ahmad-rafif-raya,Satgas PASTI OJK membekukan sementara izin Wakil Manajer Investasi influencer Ahmad Rafif Raya yang gagal mengelola dana saham publik Rp71 miliar.,2024-07-06 06:58:08,CNN Ekonomi,Technological,satgas ojk membekukan izin wakil manajer investasi influencer ahmad rafif raya gagal mengelola dana saham publik rp miliar,Neutral
46,BSI Buka Suara soal Gangguan M-Banking Nasabah,https://www.cnnindonesia.com/ekonomi/20240706125748-78-1118293/bsi-buka-suara-soal-gangguan-m-banking-nasabah,PT Bank Syariah Indonesia Tbk (BSI) buka suara soal keluhan nasabah terkait error pada layanan m-banking.,2024-07-06 06:04:35,CNN Ekonomi,Economic,pt bank syariah indonesia tbk bsi buka suara keluhan nasabah terkait error layanan mbanking,Neutral
47,6 Family Office di Singapura Terseret Kasus Pencucian Uang,https://www.cnnindonesia.com/ekonomi/20240705191944-532-1118144/6-family-office-di-singapura-terseret-kasus-pencucian-uang,Sebanyak enam family office di Singapura yang menikmati insentif pajak diduga terlibat dalam kasus pencucian uang yang dilakukan 10 orang asing.,2024-07-06 06:00:12,CNN Ekonomi,Legal,enam family office singapura menikmati insentif pajak diduga terlibat pencucian uang orang asing,Neutral
48,INFOGRAFIS: Daftar Pekerjaan dengan Rata-rata Gaji Tertinggi di RI,https://www.cnnindonesia.com/ekonomi/20240705204322-95-1118161/infografis-daftar-pekerjaan-dengan-rata-rata-gaji-tertinggi-di-ri,"Data BPS menunjukkan ada 10 pekerjaan yang memberikan rata-rata gaji tertinggi di Indonesia, meliputi sektor pertambangan, keuangan dan lain sebagainya.",2024-07-06 05:30:38,CNN Ekonomi,Environmental,data bps pekerjaan ratarata gaji tertinggi indonesia meliputi sektor pertambangan keuangan,Neutral
49,Zulkifli Hasan: Harga MinyaKita Naik Jadi Rp15.700 Pekan Depan,https://www.cnnindonesia.com/ekonomi/20240706111850-92-1118267/zulkifli-hasan-harga-minyakita-naik-jadi-rp15700-pekan-depan,Menteri Perdagangan Zulkifli Hasan menyebut harga eceran tertinggi (HET) minyak goreng kemasan murah Minyakita mulai naik pekan depan.,2024-07-06 05:10:50,CNN Ekonomi,Social,menteri perdagangan zulkifli hasan menyebut harga eceran tertinggi het minyak goreng kemasan murah minyakita pekan,Neutral
50,Pemerintah Siap Beri Swasta Insentif Pajak Jika Buka Lapangan Kerja,https://www.cnnindonesia.com/ekonomi/20240703140116-532-1117107/pemerintah-siap-beri-swasta-insentif-pajak-jika-buka-lapangan-kerja,Menko Bidang Perekonomian Airlangga Hartarto memastikan pemerintah siap memberikan insentif pajak bagi sektor swasta yang menciptakan lapangan pekerjaan.,2024-07-06 04:30:07,CNN Ekonomi,Legal,menko bidang perekonomian airlangga hartarto pemerintah insentif pajak sektor swasta menciptakan lapangan pekerjaan,Neutral
51,"Penumpang Whoosh Tembus 2,6 Juta di Paruh Pertama 2024",https://www.cnnindonesia.com/ekonomi/20240705120211-92-1117903/penumpang-whoosh-tembus-26-juta-di-paruh-pertama-2024,"Kereta Cepat Whoosh sudah melayani 2.658.492 penumpang sepanjang semester I 2024, dengan rata-rata penumpang 14,6 ribu per hari.",2024-07-06 04:15:11,CNN Ekonomi,Legal,kereta cepat whoosh melayani penumpang semester i ratarata penumpang ribu,Neutral
52,Airlangga Klaim Program Prakerja Pertama di Dunia,https://www.cnnindonesia.com/ekonomi/20240704132202-532-1117526/airlangga-klaim-program-prakerja-pertama-di-dunia,Menteri Koordinator Bidang Perekonomian Airlangga Hartarto mengklaim Program Kartu Prakerja yang diluncurkan pemerintah sejak 2020 adalah yang pertama di dunia.,2024-07-06 03:40:58,CNN Ekonomi,Legal,menteri koordinator bidang perekonomian airlangga hartarto mengklaim program kartu prakerja diluncurkan pemerintah dunia,Neutral
53,Airlangga Khawatir AI Bisa Jebloskan Masyarakat Main Judi Online,https://www.cnnindonesia.com/ekonomi/20240703091355-92-1116958/airlangga-khawatir-ai-bisa-jebloskan-masyarakat-main-judi-online,Menko Airlangga Hartarto khawatir teknologi kecerdasan buatan (AI) menjebloskan masyarakat bermain judi online hingga terperangkap modus kripto.,2024-07-06 03:20:27,CNN Ekonomi,Legal,menko airlangga hartarto khawatir teknologi kecerdasan buatan ai menjebloskan masyarakat bermain judi online terperangkap modus kripto,Neutral
54,Peluang Cuan Bisnis Franchise Modal Kecil dari Es Teh hingga Mi Pedas,https://www.cnnindonesia.com/ekonomi/20240705133912-83-1117948/peluang-cuan-bisnis-franchise-modal-kecil-dari-es-teh-hingga-mi-pedas,"Bisnis franchise bermodal kecil seperti jual es teh hingga mi pedas bisa jadi sumber cuan, tetapi ada banyak faktor yang harus dipertimbangkan agar tak rugi.",2024-07-06 02:45:44,CNN Ekonomi,Economic,bisnis franchise bermodal jual e teh mi pedas sumber cuan faktor dipertimbangkan rugi,Neutral
55,Mengintip Besaran Gaji Ketua KPU Sebelum Dipecat DKPP,https://www.cnnindonesia.com/ekonomi/20240706072227-532-1118234/mengintip-besaran-gaji-ketua-kpu-sebelum-dipecat-dkpp,"Sebelum dipecat dari jabatan Ketua KPU karena skandal asusila, Hasyim Asy'ari mendapat besaran gaji dan berbagai fasilitas dari negara.",2024-07-06 01:47:58,CNN Ekonomi,Economic,dipecat jabatan ketua kpu skandal asusila hasyim asyari besaran gaji fasilitas negara,Neutral
56,Daftar Berita Ekonomi Terpopuler Pekan Ini,https://www.cnnindonesia.com/ekonomi/20240705184335-532-1118130/daftar-berita-ekonomi-terpopuler-pekan-ini,Sejumlah berita ekonomi CNNIndoneisa.com populer dan banyak dibaca pada pekan ini. Berikut 4 daftarnya.,2024-07-06 00:57:17,CNN Ekonomi,Legal,berita ekonomi cnnindoneisacom populer dibaca pekan daftarnya,Neutral
